label,text
spam,FINAL NOTICE: your vehicle warranty is about to expire. Reactivate: warranty-renew.us
spam,Win a Samsung Galaxy S24! Just answer this question to enter: mobile-contest.bid
spam,"Dear user, your email has been randomly chosen in our monthly lottery. Claim at email-lotto.win"
spam,Your shipment is on hold. Pay customs duty $24.99: dhl-customs-payment.top
spam,FREE! Get the new iPhone 16 Pro Max today. Just pay $1 shipping at applepromo.today
spam,Hot stock tip! XXX shares will explode next week. Buy now before it's too late.
spam,Get a bigger house in no time with this easy mortgage. 100% approval. easymortgage.win
spam,URGENT: We tried to deliver your parcel but no one home. Reschedule: reschedule-royalmail.top
spam,Congratulations! You have been approved for a $10000 loan. No docs needed. quickloan-fast.win
spam,Your account shows suspicious login from Russia. Secure it now: account-secure-login.tk
spam,FREE Viagra samples! Doctor approved. Discreet shipping. cheap-rx-store.ru
spam,Your tax refund of $1240 is pending. Confirm your bank details: irs-refund-usa.win
spam,You won a $500 Target gift card. Claim within 1 hour: target-gift-claim.top
spam,RECHARGE OFFER! Get 100% cashback on your first recharge. promo-recharge.bid
spam,Win an all-expenses-paid trip to Dubai! Enter now: dubai-luxury-trip.win
spam,Your CashApp account received $450. Verify to accept: cashapp-accept-payment.icu
spam,Congratulations on winning the Microsoft Yearly Promotion! Claim: ms-promo-2024.win
spam,Get the best diet plan FREE for 30 days. Lose weight guaranteed! dietplan-free.shop
spam,CLAIM YOUR PRIZE: you have been selected for a $1000 reward. reward-prize.win
spam,Last chance! 80% off all items. Flash sale ends tonight. flashsale-80off.bid
spam,Your Facebook page violates copyright. Verify ownership: fb-copyright-appeal.icu
spam,Limited offer: free crypto trading signals! Join now for guaranteed profit.
spam,Final warning: your IP address is being tracked. Install protection now: secure-vpn-now.win
spam,You've won a $500 IKEA gift card! Claim at ikea-giftclaim.top
spam,ALERT: Unusual sign-in to your Google account. Review activity now: google-activity-check.tk
spam,Get paid to take surveys! $25 per survey from home. Sign up: paid-surveys-daily.win
spam,FREE upgrade to first class on your next flight! Claim: airline-upgrade.bid
spam,You have been selected for a $100 VISA prepaid card. Claim now: visa-prepaid-claim.top
spam,Dr. recommended weight loss gummies melt fat while you sleep. Try free!
spam,Your domain is expiring today. Renew for $1.99 at domain-renew-cheap.win
spam,You have unclaimed lottery winnings of €2500. Confirm identity to claim.
spam,Win a $1000 Amazon gift card! Just complete this short survey: amzn-survey.bid
spam,Invest in olive oil futures! 200% return guaranteed. oil-invest-now.win
spam,FREE $50 bet on tonight's game! Sign up at sportsbook-freebet.win
spam,Verify your Instagram account to get the blue badge free. ig-verify-badge.icu
spam,You have been selected to test and keep a new iPhone 16! tester-program.win
spam,Need cash today? Get $1000 in your account in 1 hour. cash-now-1hour.win
spam,Final notice: confirm your shipping address to release your held package.
spam,Get wholesale prices on designer handbags! Original quality. bags-outlet-ru.ru
spam,Your medical insurance policy needs renewal. Pay now to keep coverage: med-insurance-renew.top
spam,Hot crypto ICO! Get in early on the next Bitcoin. 10x guaranteed. ico-moon.win
spam,"URGENT job offer! Work from home, $50/hr, no experience. Apply: job-remote-apply.bid"
spam,You are today's lucky visitor! Claim your free MacBook: macbook-lucky-visitor.win
spam,Free dental implant consultation! Limited slots. Smile makeover guaranteed.
spam,Claim your unclaimed inheritance of $2.5M. Contact our lawyer to process.
spam,Buy genuine IELTS certificate without exam. 100% verified. docs-online.ru
spam,Your UPS delivery failed. Confirm address & pay redelivery: ups-redelivery-pay.top
spam,Win a Dyson Airwrap! Just tag 3 friends and follow @giveaway-central.
spam,Earn $200/day liking YouTube videos! Sign up: yt-likes-cash.win
spam,Congratulations! You have been pre-selected for a black AMEX card. Apply now.
spam,Your computer has 5 viruses! Click to clean them now: pc-clean-now.win
spam,FREE gas card worth $250! Just complete our sponsor survey: free-gas-card.bid
spam,Win 2 VIP tickets to the Taylor Swift concert! Enter: vip-concert-tix.win
spam,Your Spotify Premium is canceled. Reactivate for $1: spotify-reactivate.icu
spam,Get a free cruise to the Caribbean for 2! Just attend our 90-min presentation.
spam,ALERT: A wire transfer of $4200 was initiated from your account. Cancel: bank-cancel-transfer.tk
spam,Try our new CBD gummies FREE! Just pay shipping. anxiety relief in minutes.
spam,Your Roblox account is being sold on the dark web. Secure it now.
spam,Win a $500 PayPal gift card! Forward this to 10 friends to enter.
spam,Get a FREE month of premium streaming! All channels unlocked. stream-free-month.win
spam,Your prescription is ready for refill. Pay $9.99 shipping: rx-refill-now.top
spam,URGENT: car extended warranty offer expires in 24h. Don't lose coverage.
spam,You've been invited to the beta of our trading app. Early users get $500 credit!
spam,Claim your free jewelry sample! Just pay $4.99 shipping. jewelry-free-sample.shop
spam,Win the lottery guaranteed with our number-prediction software! lotto-predictor.win
spam,Your Facebook friend tagged you in a scandalous video. View: fb-video-tagged.xyz
ham,Hey are you coming to the party tonight?
ham,"I'll call you when I get home, should be around 6pm."
ham,Did you finish the report? Boss wants it by Friday.
ham,"Thanks for dinner last night, it was lovely to see you."
ham,Can you pick up some milk on your way back?
ham,"Running late, stuck in traffic. Start without me."
ham,Happy birthday! Hope you have a wonderful day :)
ham,"Mom called, she wants to know if you're coming Sunday."
ham,Let me know when you're free to grab coffee.
ham,The meeting has been moved to 3pm in conference room B.
ham,Don't forget to submit your timesheet by end of day.
ham,I left the keys under the mat as you asked.
ham,See you at the gym at 7am tomorrow!
ham,Just confirming our appointment for Tuesday at 10am.
ham,Your OTP is 482913. Do not share it with anyone.
ham,Pizza's here! Come quick before it gets cold.
ham,How was your exam? I'm sure you did great.
ham,"The kids are asleep, finally some quiet time."
ham,Can you send me the presentation slides please?
ham,I think I left my umbrella at your place.
ham,Doctor's appointment is confirmed for Thursday 2pm.
ham,"Went for a walk by the river, the sunset was beautiful."
ham,Reminder: parent-teacher meeting tomorrow at 4pm.
ham,Your Amazon order #112-9384756 has shipped and will arrive Tuesday.
ham,"Thanks for reaching out, I'll get back to you shortly."
ham,Got the tickets! See you at the concert Friday.
ham,Did you watch the game last night? Unreal finish.
ham,Could you water my plants while I'm away next week?
ham,The report you requested is attached to this email.
ham,"I'm so proud of you, congrats on the promotion!"
ham,"Let's do brunch this weekend, my treat."
ham,"Just checking in, hope everything's okay with you."
ham,Your library book is due back on the 15th.
ham,Can we reschedule our call to tomorrow morning?
ham,"Movie starts at 8, I'll pick you up at 7:30."
ham,"I got the job! Starting next Monday, so excited."
ham,What time does the flight land? I'll be there to pick you up.
ham,The wifi password is coffeeshop2024.
ham,"Thanks for the lift today, really appreciate it."
ham,Did you remember to feed the cat?
ham,Your verification code is 7261. It expires in 10 minutes.
ham,"Practicing guitar tonight, want to join?"
ham,"Happy anniversary, can't believe it's been 5 years!"
ham,"I baked cookies, saving some for you."
ham,Your appointment with Dr. Smith is on March 12 at 9am.
ham,"Just wanted to say I love you, have a great day."
ham,Did you see the news about the weather this weekend?
ham,"The car service is done, total came to $340."
ham,I'll bring dessert for Thanksgiving.
ham,"Heading to bed, goodnight! Talk tomorrow."
ham,Your package will be delivered between 2-4pm today.
ham,Can you cover my shift on Saturday? I'll owe you one.
ham,Just booked our flights to Japan for the summer!
ham,"The match was cancelled due to rain, rescheduled for next week."
ham,Coffee's ready whenever you want a cup.
ham,"I'm at the grocery store, need anything?"
ham,Remember to bring your laptop to the workshop.
ham,Your prescription is ready for pickup at the pharmacy.
ham,"Sorry I missed your call, was in a meeting. Call you back!"
ham,The kids made you a card for Father's Day.
ham,Can you believe Sarah got engaged? So happy for her.
ham,Your electricity bill of $87.40 is due on the 20th.
ham,"Lunch was great, let's do this again next week."
ham,"I've sent the contract over, please review and sign."
ham,Did you find the files I shared in the drive?
ham,"The heating is broken, I've called the repair guy."
ham,Catch you at yoga tomorrow morning?
ham,Your reservation at Bella Italia is confirmed for 7:30pm Friday.
ham,"Got stuck at work, dinner's in the fridge."
ham,Just finished the marathon! Exhausted but happy.
ham,Can you forward me that email from HR?
ham,"The new episode of the show is out, want to watch together?"
ham,"I'm so tired, going to sleep early tonight."
ham,Your bus pass has been topped up by $30.
ham,Want to play tennis this weekend?
ham,The plumber is coming between 9 and 12 tomorrow.
ham,"Thanks for the gift, you really shouldn't have!"
ham,Did you remember to take the cake out of the oven?
ham,"I'll be there in 15 minutes, just leaving now."
ham,Your student loan payment of $215 is due Friday.
ham,"Great presentation today, the client loved it."
ham,Can you believe how hot it is today?
ham,"The dog ate my homework, seriously."
ham,"Just renewing my gym membership, it expired."
ham,Your dentist appointment is on the 28th at 11am.
ham,Have you tried that new ramen place downtown?
ham,"I think I aced the interview, fingers crossed!"
ham,Reminder: rent is due on the 1st.
ham,"The garden is finally blooming, take a look when you come over."
ham,Can you send me the wifi password again?
ham,Your train ticket to London is confirmed for 8:15am.
ham,"Just got home, what a long day."
ham,Did you remember to lock the door?
ham,"Coffee on me tomorrow, you've earned it."
ham,Your water bill for this month is $42.18.
ham,"I'm at the airport, boarding starts in 20 minutes."
ham,"The plumber fixed the leak, all good now."
ham,Can you walk the dog? I'm running late.
ham,"Your ice cream's melting, come eat it!"
ham,Just wanted to check how the new job is going.
ham,See you at the family reunion in August.
ham,"The exam results come out Friday, I'm nervous."
ham,"Your mobile data has been renewed, 50GB added."
ham,"I'll text you the address, save it."
ham,Got the promotion! Drinks are on me tonight.
ham,Can you believe she said yes? Wedding next summer!
ham,The meeting notes are in the shared folder.
ham,"Thanks for helping me move, couldn't have done it without you."
ham,Your car is ready for pickup from the garage.
ham,"Just booked the hotel, got a great deal."
ham,Did you remember to buy a gift for the baby shower?
ham,The hike was tough but the view was worth it.
ham,Can you pick up the kids at 3pm? Stuck at work.
ham,Your subscription renews on the 15th of next month.
ham,"I'm making pasta for dinner, want some?"
ham,"The concert was amazing, you should've come!"
ham,"Just checking, did you pay the electric bill?"
ham,Your package has been delivered to the front porch.
ham,"Got a new phone number, save it: 555-0192."
ham,"The presentation went well, everyone was impressed."
ham,Can you believe it's already December?
ham,"Your flight has been delayed by 2 hours, sorry."
ham,"I left my charger at your place, can I grab it later?"
ham,"Just renewed my passport, expires in 10 years now."
ham,The kids had a blast at the birthday party.
ham,Your Amazon order has been delivered. Rate your experience.
ham,Did you remember to call grandma?
ham,"The wifi is down again, I'll call the provider."
ham,Can you send me the recipe for that cake?
ham,Your gym membership auto-renewed for $39.99.
ham,Just wanted to say thanks for being a great friend.
ham,"The traffic is awful, might be 30 min late."
ham,Your library holds are ready for pickup.
ham,Did you see the match? We won in the last minute!
ham,"I'm coming down with a cold, taking the day off."
ham,"The fridge is empty, we need to go shopping."
ham,Your insurance premium of $145 is due next week.
ham,Can you forward the meeting invite to the team?
ham,Just graduated! Thank you for all your support.
ham,"The dog learned a new trick, check the video I sent."
ham,Your verification code is 0583. Valid for 5 minutes.
ham,Did you remember to set your alarm?
ham,"The weather's gorgeous, want to go for a hike?"
ham,I'll be working from home tomorrow.
ham,Your credit card statement is available online.
ham,Can you believe they cancelled the show after one season?
ham,Just booked a table for 4 at 8pm on Saturday.
ham,"The milk's gone bad, don't use it."
ham,"Your parcel is out for delivery, expected by 6pm."
ham,Did you remember to RSVP for the wedding?
ham,I'm so proud of how far you've come.
ham,"The new keyboard arrived, typing on it now."
ham,Can you send me the meeting recording?
ham,Your appointment has been rescheduled to 3pm Friday.
ham,"Just finished my thesis, finally free!"
ham,"The flowers you sent are beautiful, thank you!"
ham,Did you see the meteor shower last night?
ham,"I'm at the dentist, might be a while."
ham,Your bank statement for June is ready to view.
ham,Can you help me with the math homework?
ham,"The soup's ready, come eat before it gets cold."
ham,Just got engaged! We're over the moon.
ham,Your internet bill of $59.99 has been paid.
ham,Did you remember to take out the trash?
ham,"The garden needs watering, it hasn't rained in days."
ham,I'm so grateful for everything you do.
ham,Your parking permit has been renewed for the year.
ham,Can you text me when you get home safe?
ham,Just finished the puzzle we started last week.
ham,"The new season drops tonight, no spoilers please!"
ham,Did you remember to book the restaurant?
ham,"I'm thinking of getting a cat, what do you think?"
ham,Your monthly metro pass has been activated.
ham,Can you cover for me at the meeting? I'm sick.
ham,"Just hit the gym PR, feeling unstoppable."
ham,"The flight was smooth, landed safe and sound."
ham,Did you see the eclipse? It was unreal.
ham,"I'll handle the presentation, you focus on the report."
ham,Your subscription to the newsletter has been confirmed.
ham,Can you believe the prices these days?
ham,"Just adopted a puppy, he's the cutest thing."
ham,"The wifi router needs a restart, it's acting up."
ham,Did you remember to charge your phone?
ham,"I'm so ready for the weekend, it's been a long week."
ham,Your application has been received and is under review.
ham,Can you pass the salt please?
ham,"Just got back from the trip, photos coming soon."
ham,"The meeting ran over, sorry for the delay."
ham,Did you see the news? Unbelievable what happened.
ham,"I'll make the reservations, you pick the restaurant."
ham,Your ticket confirmation number is KX7P4M.
ham,Can you believe how fast this year went by?
ham,"Just completed the course, certificate in hand!"
ham,"The cake is in the oven, smells amazing."
ham,Did you remember to water the plants?
ham,"I'm going to bed, long day tomorrow."
ham,Your delivery is scheduled for tomorrow between 10am-12pm.
ham,Can you save me a seat at the lecture?
ham,"Just renewed my driver's license, valid for 8 years."
ham,"The internet's slow today, might be an outage."
ham,Did you see the game-winning shot last night?
ham,I'm grateful for friends like you.
ham,"Your membership expires next month, renew to keep benefits."
ham,Can you bring the drinks to the barbecue?
ham,"Just finished painting the living room, looks great."
ham,"The hike tomorrow is still on, weather looks good."
ham,Did you remember to feed the fish?
ham,"I'm so excited for the trip, can't wait!"
ham,Your pizza order will be delivered in 25 minutes.
ham,Can you check if I left my wallet at your place?
ham,"Just got the test results, everything's normal!"
ham,"The conference was insightful, learned a lot."
ham,Did you remember to confirm the booking?
ham,I'll bring the dessert for the potluck.
ham,Your package has been delivered to your neighbor at apt 4B.
ham,Can you believe she won the award? So deserved.
ham,"Just signed the lease, moving in next month!"
ham,"The movie was incredible, you have to see it."
ham,Did you remember to set the DVR for the game?
ham,"I'm exhausted, going to sleep for 12 hours."
ham,Your annual check-up is scheduled for July 15.
ham,Can you forward the invoice to accounting?
ham,"Just got a new haircut, what do you think?"
ham,"The traffic light's broken, taking the back way."
ham,Did you see the northern lights? Stunning.
ham,"I'm so happy for you, congrats again!"
ham,Your prescription refill is ready at the pharmacy counter.
ham,Can you text me the address one more time?
ham,Just finished the marathon in under 4 hours!
ham,"The concert tickets sold out in minutes, crazy."
ham,Did you remember to return the library books?
ham,"I'll be there in 5, just parking the car."
ham,Your gas bill for this month is $56.30.
ham,Can you save me some of that cake?
ham,"Just upgraded my phone, it's so fast."
ham,The workshop was hands-on and super useful.
ham,Did you remember to pay the babysitter?
ham,"I'm so proud of the team, we delivered."
ham,Your order #7782 has been confirmed and is being prepared.
ham,Can you pass along the message to John?
ham,"Just finished the book, the ending was a twist!"
ham,"The restaurant was fully booked, found another spot."
ham,Did you see the fireworks last night? Beautiful.
ham,"I'll handle pickup today, you rest."
ham,Your streaming subscription renews on the 5th.
ham,Can you believe how much the kids have grown?
ham,"Just got my braces off, finally!"
ham,"The garden is thriving, tomatoes everywhere."
ham,Did you remember to call the vet?
ham,"I'm grateful for this opportunity, thank you."
ham,Your refund of $45.99 has been processed.
ham,Can you save me a piece of the pie?
ham,Just completed my first 5K run!
ham,"The weather app says rain all weekend, bummer."
ham,Did you remember to lock the car?
ham,I'm so relieved the tests came back clear.
ham,Your booking for the hotel is confirmed for 3 nights.
ham,Can you pick up some eggs while you're out?
ham,"Just got a promotion, celebration dinner tonight!"
ham,"The new job starts Monday, nervous but excited."
ham,Did you see my message in the group chat?
ham,I'll send you the link to the article.
ham,Your prescription for amoxicillin is ready at CVS pharmacy.
ham,Can you believe the airline lost my luggage again?
ham,"Just finished assembling the furniture, looks great."
ham,The kids' school play is at 6pm Friday.
ham,Did you remember to set the coffee maker?
ham,I'm so thankful for my family.
ham,Your appointment with the optometrist is confirmed.
ham,Can you water my plants while we're on vacation?
ham,"Just got my second vaccine dose, feeling good."
ham,The trail was muddy but we made it to the top.
ham,Did you remember to send the invite to everyone?
ham,I'm looking forward to the weekend getaway.
ham,"Your bank balance as of today is $2,847.50."
ham,Can you text me when dinner's ready?
ham,Just bought tickets for the music festival!
ham,The drive was long but the scenery was stunning.
ham,Did you remember to charge the laptop?
ham,I'm so excited to start this new chapter.
ham,Your application for the credit card was approved.
ham,Can you pass me the remote?
ham,"Just finished the laundry, finally caught up."
ham,The storm last night knocked out the power.
ham,Did you see the moon tonight? It's huge.
ham,I'm grateful for your patience and support.
ham,Your delivery from DoorDash is on the way.
ham,Can you save me a seat on the bus?
ham,"Just got back from the dentist, no cavities!"
ham,"The match starts at 7, want to watch together?"
ham,Did you remember to confirm the flight?
ham,I'm so proud of what we've accomplished.
ham,Your monthly transit pass has been loaded onto your card.
ham,Can you bring the salad to the potluck?
ham,Just finished writing my resignation letter.
ham,"The hike was tougher than expected, but worth it."
ham,Did you see the rainbow after the rain?
ham,"I'll take care of the kids tonight, you relax."
ham,Your internet installation is scheduled for tomorrow 2-4pm.
ham,Can you believe we've been friends for 20 years?
ham,"Just got a new apartment, moving next weekend."
ham,The book club meeting is at Sarah's place Thursday.
ham,Did you remember to take your medication?
ham,I'm so happy you could make it tonight.
ham,Your order from Target is ready for pickup.
ham,Can you save me the last slice of pizza?
ham,"Just finished the home renovation, it's beautiful."
ham,"The kids won their soccer game, 3-1!"
ham,Did you remember to RSVP for the dinner?
ham,"I'm so ready for vacation, just one more week."
ham,Your subscription to the magazine has been renewed.
ham,Can you forward the email from the landlord?
ham,"Just got my car detailed, looks brand new."
ham,The new coffee shop downtown is amazing.
ham,Did you see the puppy video I sent? So cute!
ham,I'm grateful for this beautiful day.
ham,Your photo prints are ready for pickup at Walgreens.
ham,Can you pass the ketchup?
ham,"Just finished my last exam, summer here I come!"
ham,The weather's perfect for a beach day.
ham,Did you remember to backup your files?
ham,I'm so relieved the project is finally done.
ham,Your car insurance renews next month at $89/month.
ham,Can you text me the wifi code again?
ham,"Just got back from the farmers market, fresh veggies!"
ham,The kids are excited for the field trip tomorrow.
ham,Did you remember to call your mom?
ham,I'm looking forward to catching up over coffee.
ham,Your passport renewal has been approved and mailed.
ham,Can you save me a spot in line?
ham,"Just finished reading the report, well done."
ham,The new park in town is great for picnics.
ham,Did you see the sunset? Breathtaking.
ham,I'm so thankful for a relaxing weekend.
ham,"Your prescription is ready, $12 with insurance."
ham,Can you bring your famous dip to the party?
ham,"Just upgraded to business class, treat yourself!"
ham,The hike to the waterfall was totally worth it.
ham,Did you remember to set your out of office?
ham,I'm so proud of the progress you've made.
ham,Your delivery has been left at the front desk.
ham,Can you text me when you land?
ham,Just got the keys to the new office!
ham,The team meeting has been pushed to 4pm.
ham,Did you remember to water the garden?
ham,"I'm so excited for the concert, front row seats!"
ham,Your membership at the gym has been activated.
ham,Can you pass the TV remote?
ham,Just finished baking cookies for the bake sale.
ham,The kids had so much fun at the zoo today.
ham,Did you see my email about the project deadline?
ham,I'm so grateful for your help with the move.
ham,Your order has shipped and will arrive Wednesday.
ham,Can you save me a dance at the wedding?
ham,Just got promoted to senior developer!
ham,"The restaurant had a 2-hour wait, found another."
ham,Did you remember to feed the cat?
ham,"I'm so ready for bed, what a day."
ham,Your verification code: 9301. Do not share this code.
ham,Can you text me the recipe later?
ham,"Just finished the crossword, toughest one yet!"
ham,The new trail we found has amazing views.
ham,Did you see the football highlights? Insane play.
ham,I'm so happy to be home after a long trip.
ham,Your Amazon Prime membership renews in 3 days.
ham,"Can you bring an umbrella, might rain later?"
ham,"Just got a new job offer, negotiating salary."
ham,The kids' science project won first prize!
ham,Did you remember to refill your prescription?
ham,I'm so proud of you for standing up for yourself.
ham,Your package was delivered to the mailbox.
ham,Can you save me a seat at the back?
ham,"Just finished my morning workout, feeling energized."
ham,The sunset run was the perfect end to the day.
ham,Did you see the meteor? It streaked across the sky.
ham,I'm so thankful for this quiet moment.
ham,Your appointment is confirmed for tomorrow at 11am.
ham,Can you pass the pepper?
ham,"Just got home from the gym, exhausted but good."
ham,The new bike trail along the river is so peaceful.
ham,Did you remember to check the mailbox?
ham,I'm so excited for the wedding this weekend.
ham,Your food delivery is 5 minutes away.
